iter	Passed	Remaining
400	22853	5642
401	22908	5584
402	22967	5528
403	23019	5469
404	23072	5412
405	23125	5354
406	23176	5295
407	23229	5237
408	23292	5182
409	23346	5124
410	23418	5071
411	23474	5014
412	23527	4956
413	23576	4897
414	23626	4839
415	23677	4781
416	23734	4724
417	23784	4665
418	23832	4607
419	23883	4549
420	23937	4491
421	23990	4434
422	24042	4376
423	24103	4320
424	24157	4263
425	24213	4206
426	24263	4148
427	24321	4091
428	24374	4033
429	24427	3976
430	24485	3919
431	24539	3862
432	24601	3806
433	24661	3750
434	24714	3692
435	24766	3635
436	24820	3578
437	24873	3520
438	24929	3463
439	24982	3406
440	25037	3349
441	25089	3292
442	25149	3235
443	25200	3178
444	25254	3121
445	25311	3064
446	25370	3008
447	25421	2950
448	25509	2897
449	25568	2840
450	25622	2783
451	25681	2727
452	25735	2670
453	25790	2613
454	25843	2555
455	25894	2498
456	25948	2441
457	26010	2385
458	26065	2328
459	26122	2271
460	26176	2214
461	26234	2157
462	26298	2101
463	26356	2044
464	26413	1988
465	26467	1931
466	26525	1874
467	26578	1817
468	26639	1760
469	26692	1703
470	26757	1647
471	26809	1590
472	26868	1533
473	26922	1476
474	26982	1420
475	27035	1363
476	27097	1306
477	27150	1249
478	27204	1192
479	27258	1135
480	27314	1078
481	27366	1021
482	27423	965
483	27475	908
484	27535	851
485	27593	794
486	27646	738
487	27700	681
488	27751	624
489	27803	567
490	27852	510
491	27903	453
492	27953	396
493	28006	340
494	28061	283
495	28119	226
496	28181	170
497	28234	113
498	28291	56
499	28348	0
